Player,Team,Age,Pos,Height,Weight,GP,PTS,REB,AST
Bogdan Bogdanović,ATL,32,SG / SF,6-5,225,24,10,2.8,2
Caris LeVert,ATL,30,SG / SF,6-6,205,26,14.9,3.7,2.9
Clint Capela,ATL,31,C,6-10,256,55,8.9,8.5,1.1
Daeqwon Plowden,ATL,26,SG / SF,6-6,216,6,7.2,1.8,0.3
David Roddy,HOU,24,SF / PF,6-4,255,27,4.5,2.6,1.1
De'Andre Hunter,CLE,27,SF,6-8,221,37,19,3.9,1.5
Dominick Barlow,ATL,22,PF,6-8,215,35,4.2,2.4,0.5
Dyson Daniels,ATL,22,PG / SG,6-7,199,76,14.1,5.9,4.4
Garrison Mathews,ATL,28,SG,6-6,215,47,7.5,1.9,1.3
Georges Niang,ATL,32,PF,6-7,230,28,12.1,3,1.6
Jacob Toppin,ATL,25,SF,6-8,200,1,17,4,2
Jalen Johnson,ATL,23,SF / PF,6-8,219,36,18.9,10,5
Keaton Wallace,ATL,26,PG / SG,6-3,185,31,5.4,1.6,2.6
Kobe Bufkin,ATL,21,SG,6-4,195,10,5.3,2.1,1.7
Larry Nance Jr.,ATL,32,PF / C,6-8,245,24,8.5,4.3,1.6
Mouhamed Gueye,ATL,22,PF,6-10,210,33,6,4.2,0.8
Onyeka Okongwu,ATL,24,C / PF,6-10,240,74,13.4,8.9,2.3
Terance Mann,ATL,28,SF / SG,6-5,215,30,9.8,3.1,2.1
Trae Young,ATL,26,PG,6-1,164,76,24.2,3.1,11.6
Vít Krejčí,ATL,25,PG / SG,6-8,195,57,7.2,2.7,2.6
Zaccharie Risacher,ATL,20,SF,6-8,200,75,12.6,3.6,1.2
Al Horford,BOS,39,C / PF,6-9,240,60,9,6.2,2.1
Baylor Scheierman,BOS,24,SG,6-6,205,31,3.6,2.1,1.1
Derrick White,BOS,30,SG / PG,6-4,190,76,16.4,4.5,4.8
Drew Peterson,BOS,25,SF / PF,6-9,205,25,2.2,1.6,0.5
JD Davison,BOS,22,PG / SG,6-1,195,16,2.1,0.8,0.8
Jaden Springer,UTA,22,SG / PG,6-4,202,26,1.7,0.9,0.4
Jaylen Brown,BOS,28,SG / SF,6-6,223,63,22.2,5.8,4.5
Jayson Tatum,BOS,27,SF / PF,6-8,210,72,26.8,8.7,6
Jordan Walsh,BOS,21,SF / PF,6-6,205,52,1.6,1.3,0.4
Jrue Holiday,BOS,35,PG / SG,6-4,205,62,11.1,4.3,3.9
Kristaps Porziņģis,BOS,29,PF / C,7-2,240,42,19.5,6.8,2.1
Luke Kornet,BOS,29,C / PF,7-1,250,73,6,5.3,1.6
Miles Norris,BOS,25,PG / SG,6-7,220,3,2.3,3,0
Neemias Queta,BOS,25,SF / SG,7-0,248,62,5,3.8,0.7
Payton Pritchard,BOS,27,PF / SF,6-1,195,80,14.3,3.8,3.5
Sam Hauser,BOS,27,PF,6-7,217,71,8.5,3.2,0.9
Torrey Craig,BOS,34,PG / SF,6-5,221,17,2.7,2.8,0.7
Xavier Tillman,BOS,26,SG,6-7,245,33,1,1.3,0.2
Ben Simmons,LAC,28,SF / PF,6-10,240,33,6.2,5.2,6.9
Cam Thomas,BKN,23,SG,6-3,210,25,24,3.3,3.8
Cameron Johnson,BKN,29,PG / SG,6-8,210,57,18.8,4.3,3.4
Cui Cui,BKN,22,SG,6-5,190,5,0.6,0.4,0
D'Angelo Russell,BKN,29,PG / SG,6-3,193,29,12.9,2.8,5.6
Dariq Whitehead,BKN,20,SG / SF,6-6,220,20,5.7,1.5,0.6
Day'Ron Sharpe,BKN,23,C / PF,6-9,265,50,7.9,6.6,1.8
Dennis Schröder,DET,31,PG,6-1,175,23,18.4,3,6.6
Dorian Finney-Smith,LAL,32,SF / PF,6-7,220,20,10.4,4.6,1.6
Drew Timme,BKN,24,PF / C,6-10,235,9,12.1,7.2,2.2
Jalen Wilson,BKN,24,SF / PF,6-6,220,79,9.5,3.4,1.8
Jaylen Martin,WAS,21,SG / SF,6-6,216,3,1,0,0
Keon Johnson,BKN,23,SG / PG,6-5,185,79,10.6,3.8,2.2
Killian Hayes,BKN,23,PG / SG,6-5,195,6,9,3,5.2
Maxwell Lewis,BKN,22,SF,6-7,215,21,5.3,2.5,0.8
Nic Claxton,BKN,26,C / PF,6-11,215,70,10.3,7.4,2.2
Noah Clowney,BKN,20,PF,6-9,210,46,9.1,3.9,0.9
Reece Beekman,BKN,23,PG,6-3,190,34,2.7,1.1,1.8
Shake Milton,LAL,28,SG / PG,6-5,205,27,7.4,1.9,2.4
Tosan Evbuomwan,BKN,24,SF / PF,6-7,217,28,9.5,4.3,2
Trendon Watford,BKN,24,PF / SF,6-8,237,44,10.2,3.6,2.6
Tyrese Martin,BKN,26,SG / SF,6-6,215,60,8.7,3.7,2
Tyson Etienne,BKN,25,PG / SG,6-2,200,7,7.9,1.3,1.7
Ziaire Williams,BKN,23,SF,6-9,185,63,10,4.6,1.3
Brandon Miller,CHA,22,SF / PF,6-7,200,27,21,4.9,3.6
Cody Martin,PHX,29,SG / SF,6-6,205,39,7.8,4.5,2.3
DaQuan Jeffries,CHA,27,SG / SF,6-5,222,47,6.7,2.9,1.1
Damion Baugh,CHA,24,PG / SG,6-4,194,15,7.3,3.3,3.7
Elfrid Payton,NOP,31,PG,6-3,195,6,1,2.2,3.3
Grant Williams,CHA,26,PF,6-6,236,16,10.4,5.1,2.3
Isaiah Wong,CHA,24,PG / SG,6-3,185,20,6,1.6,1.4
Jared Rhoden,TOR,25,SG / SF,6-5,210,4,1,1,0.5
Jaylen Sims,CHA,26,SG / SF,6-6,210,6,7,1,2
Josh Green,CHA,24,SG / SF,6-5,200,68,7.4,2.5,1.6
Josh Okogie,CHA,26,SG / SF,6-4,213,15,8.9,2.7,1.3
Jusuf Nurkić,CHA,30,C,7-0,290,26,9.2,6.5,2.6
KJ Simpson,CHA,22,PG,6-0,189,36,7.8,3,3.1
LaMelo Ball,CHA,23,PG,6-7,180,47,25.2,4.9,7.4
Malachi Flynn,SAS,27,PG,6-1,185,4,4,1.8,1.8
Marcus Garrett,CHA,26,PG / SG,6-5,205,4,7,1.5,3.3
Mark Williams,CHA,23,C,7-0,240,44,15.3,10.2,2.5
Miles Bridges,CHA,27,SF / PF,6-7,225,64,20.3,7.5,3.9
Moussa Diabaté,CHA,23,PF / C,6-9,210,71,5.7,6.2,0.8
Nick Richards,PHX,27,C,7-0,245,21,8.9,7.5,1.3
Nick Smith Jr.,CHA,21,PG / SG,6-2,185,60,9.9,2.1,2.4
Seth Curry,CHA,34,SG / PG,6-1,185,68,6.5,1.7,0.9
Taj Gibson,CHA,40,PF / C,6-9,232,37,2.9,3.2,0.6
